Bootstrap,Threshold,PQ,PC,F1,F1*,Fractions,Brand,Webshop1&Webshop2,b,r,Similarity_threshold,Clusters,Duplicate_pair
0,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Coby,newegg.com&bestbuy.com,1,582,0.4,1,1
0,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Coby,newegg.com&bestbuy.com,1,582,0.6,1,1
0,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Coby,newegg.com&bestbuy.com,1,582,0.8,1,1
0,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,6,97,0.4,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,6,97,0.4,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,6,97,0.4,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Coby,newegg.com&bestbuy.com,6,97,0.4,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Coby,newegg.com&bestbuy.com,6,97,0.4,1,1
